path,st_mode,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_mtime,st_ctime
/home/w/weismanm/.vim/vim-addons/FuzzyFinder/.hg/store/data/autoload/fuf.vim.rej.i,33188,40501328,24,1,2363,2002,776,1378929285.0445595,1372042312.0,1378929285.0485594
/home/w/weismanm/.vim/bundle/vundle/autoload,16877,40371817,24,3,2363,2002,4096,1378929273.5684192,1372281532.0,1378929273.6164198
/home/w/weismanm/.eclipse/org.eclipse.platform_4.3.0_1473617060_linux_gtk_x86_64/configuration/org.eclipse.osgi/bundles/93/1/.cp/org/eclipse/epp/internal/mpc/ui/wizards/MarketplaceWizard$6.class,33188,40897013,24,1,2363,2002,1886,1380677728.7215126,1380677728.7215126,1380677728.7215126
/home/w/weismanm/.vim/colors/relaxedgreen.vim,33188,39462494,24,1,2363,2002,8598,1378929255.3241963,1371959556.0,1378929255.3281965
/home/w/weismanm/.vim/bundle/vim-misc/.git/logs/refs,16877,40371498,24,4,2363,2002,4096,1378929270.9043868,1373497253.0,1378929270.9403872
/home/w/weismanm/.local/share/Trash/files/workspace/StackMachine/bin/Node.class,33188,41042465,24,1,2363,2002,1236,1364945320.833967,1364945320.837967,1364945320.837967
/home/w/weismanm/.vim/vim-addons/fugitive/.git/hooks/prepare-commit-msg.sample,33261,40501401,24,1,2363,2002,1239,1378929286.6485791,1375363745.0,1378929286.652579
/home/w/weismanm/.eclipse/org.eclipse.platform_3.7.0_155965261/configuration/org.eclipse.osgi/bundles/164/1/.cp/icons/full/etool16/new_testcase.gif,33188,42336919,24,1,2363,2002,587,1358884100.1377575,1358884100.1417577,1358884100.1417577
/home/w/weismanm/.vim/bundle/dbext.vim/.git/refs/remotes/origin,16877,40371215,24,2,2363,2002,4096,1378929264.9403138,1372356043.0,1378929264.960314
/home/w/weismanm/.eclipse/org.eclipse.platform_3.7.0_155965261/configuration/org.eclipse.osgi/bundles/80/data/cache.timestamps,33188,40766749,24,1,2363,2002,1236,1364946277.3731546,1364946277.3771548,1364946277.3771548
/home/w/weismanm/.vim/vim-addons/FuzzyFinder/.hg/store/data/autoload/fuf/callbackitem.vim.i,33188,40501343,24,1,2363,2002,4603,1378929285.2725623,1372042312.0,1378929285.2965627
/home/w/weismanm/Documents/CS112/.git/objects/8e/c13799069ec89e1c21c046fcbab20eec4418ab,33060,43125446,24,1,2363,2002,1211,1362515824.6402125,1362515824.6402125,1362515824.6442125
/home/w/weismanm/.oh-my-zsh/lib/rvm.zsh,33188,39590703,24,1,2363,2002,347,1390854833.7620926,1390854833.7660928,1390854833.7660928
/home/w/weismanm/.eclipse/org.eclipse.platform_4.3.0_1473617060_linux_gtk_x86_64/configuration/org.eclipse.osgi/bundles/85/1/.cp/help/EGit/User_Guide/images/Egit-0.9-history-view-filtersettings.png,33188,40896651,24,1,2363,2002,13674,1380677727.181494,1380677727.1854942,1380677727.1854942
/home/w/weismanm/.vim/bundle/Xoria256m/.git/hooks/applypatch-msg.sample,33261,40372033,24,1,2363,2002,452,1378929275.9444482,1372286943.0,1378929275.9484484
/home/w/weismanm/.vim/bundle/ctrlp.vim/autoload/ctrlp/dir.vim,33188,40371418,24,1,2363,2002,2705,1378929270.180378,1373479249.0,1378929270.184378
